"RwID","SOATO_U","UKRNAME","RUSNAME","ENGNAME","SETTLTYPE","ZONE","NewFittedZone","REGION","DISTRICT","c25_gr1"
11229,"3224287201","Торчиця","Торчица","Torchytsia","село",0,0,"Київська","Ставищенський",25
11230,"0923184502","Капітанове","Капитаново","Kapitanove","село",0,0,"Луганська","Новоайдарський",6
11231,"0523482801","Мончин","Мончин","Monchyn","село",0,0,"Вiнницька","Погребищенський",8.2
11232,"4625180602","Лаврів","Лавров","Lavriv","село",0,0,"Львiвська","Старосамбiрський",2.5
11233,"6322882201","Вірнопілля","Вернополье","Virnopillia","село",0,0,"Харкiвська","Iзюмський",3.9
11234,"6825085101","Олешин","Олешин","Oleshyn","село",0,0,"Хмельницька","Хмельницький",6.8
11235,"6825086001","Педоси","Педосы","Pedosy","село",0,0,"Хмельницька","Хмельницький",5
11236,"3224481303","Мала Вовнянка","Малая Вовнянка","Mala Vovnianka","село",0,0,"Київська","Таращанський",24.7
11237,"7122588101","Сидорівка","Сидоровка","Sydorivka","село",4,0,"Черкаська","Корсунь-Шевченкiвський",99
11238,"6825083601","Лісові Гринівці","Лесовые Гриневцы","Lisovi Hrynivtsi","село",0,0,"Хмельницька","Хмельницький",6.3
11239,"0521650100","Калинівка","Калиновка","Kalynivka","мiсто",0,0,"Вiнницька","Калинiвський",13.3
11240,"6323987001","Тихопілля","Тихополье","Tykhopillia","село",0,0,"Харкiвська","Лозiвський",2.8
11241,"0521683103","Кіровка","Кировка","Kirovka","село",0,0,"Вiнницька","Калинiвський",8.2
11242,"6124687801","Старий Скалат","Старый Скалат","Staryi Skalat","село",0,0,"Тернопiльська","Пiдволочиський",1.4
11243,"5321880701","Бутенки","Бутенки","Butenky","село",0,0,"Полтавська","Кобеляцький",3.3
11244,"0522487401","Шевченка","Шевченко","Shevchenka","село",0,0,"Вiнницька","Лiтинський",10.7
11245,"0521686103","Павлівка","Павловка","Pavlivka","село",0,0,"Вiнницька","Калинiвський",13.2
